timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1527421267687,38,40 /confirmation.php,200,OK,Thread Group 1-14,text,true,,9004,713,30,30,37,0,0
1527421267686,39,40 /confirmation.php,200,OK,Thread Group 1-1,text,true,,9004,713,30,30,39,0,0
1527421267688,38,40 /confirmation.php,200,OK,Thread Group 1-11,text,true,,9004,714,30,30,38,0,0
1527421267687,40,39 /purchase.php,200,OK,Thread Group 1-17,text,true,,9966,657,30,30,39,0,0
1527421267695,38,38 /reserve.php,200,OK,Thread Group 1-20,text,true,,10603,593,30,30,37,0,0
1527421267698,37,38 /reserve.php,200,OK,Thread Group 1-21,text,true,,10627,602,30,30,37,0,0
1527421267632,105,37 /,200,OK,Thread Group 1-23,text,true,,7950,416,30,30,76,0,1
1527421267641,97,37 /,200,OK,Thread Group 1-24,text,true,,7949,416,30,30,68,0,1
1527421267702,38,40 /confirmation.php,200,OK,Thread Group 1-15,text,true,,9004,714,30,30,38,0,0
1527421267703,39,39 /purchase.php,200,OK,Thread Group 1-18,text,true,,9968,659,30,30,38,0,0
1527421267657,97,37 /,200,OK,Thread Group 1-25,text,true,,7949,416,31,31,68,0,1
1527421267718,40,40 /confirmation.php,200,OK,Thread Group 1-16,text,true,,9004,713,31,31,40,0,0
1527421267717,39,Logowanie,200,OK,Thread Group 1-4,text,true,,10343,122,31,31,39,0,0
1527421267719,40,Logowanie,200,OK,Thread Group 1-7,text,true,,10335,122,30,30,40,0,0
1527421267718,43,Logowanie,200,OK,Thread Group 1-12,text,true,,10339,122,29,29,40,0,0
1527421267663,100,37 /,200,OK,Thread Group 1-26,text,true,,7949,416,28,28,67,0,0
1527421267721,41,Logowanie,200,OK,Thread Group 1-5,text,true,,10335,122,28,28,41,0,0
1527421267723,41,Logowanie,200,OK,Thread Group 1-8,text,true,,10345,122,28,28,41,0,0
1527421267722,43,Logowanie,200,OK,Thread Group 1-9,text,true,,10341,122,26,26,43,0,0
1527421267725,40,Logowanie,200,OK,Thread Group 1-14,text,true,,10341,122,26,26,40,0,0
1527421267727,39,40 /confirmation.php,200,OK,Thread Group 1-17,text,true,,9004,713,24,24,39,0,0
1527421267727,40,Logowanie,200,OK,Thread Group 1-11,text,true,,10339,122,24,24,40,0,0
1527421267733,38,39 /purchase.php,200,OK,Thread Group 1-20,text,true,,9970,661,24,24,38,0,0
1527421267736,37,39 /purchase.php,200,OK,Thread Group 1-21,text,true,,9974,665,25,25,37,0,0
1527421267737,38,38 /reserve.php,200,OK,Thread Group 1-23,text,true,,10563,588,25,25,38,0,0
1527421267738,38,38 /reserve.php,200,OK,Thread Group 1-24,text,true,,10579,590,25,25,38,0,0
1527421267742,37,40 /confirmation.php,200,OK,Thread Group 1-18,text,true,,9004,713,25,25,37,0,0
1527421267741,39,Logowanie,200,OK,Thread Group 1-15,text,true,,10341,122,25,25,39,0,0
1527421267686,97,37 /,200,OK,Thread Group 1-27,text,true,,7949,416,24,24,68,0,2
1527421267690,97,37 /,200,OK,Thread Group 1-28,text,true,,7949,416,24,24,72,0,1
1527421267426,361,37 /,200,OK,Thread Group 1-6,text,true,,7949,416,24,24,146,0,77
1527421267754,38,38 /reserve.php,200,OK,Thread Group 1-25,text,true,,10603,593,25,25,38,0,0
1527421267763,39,38 /reserve.php,200,OK,Thread Group 1-26,text,true,,10627,602,26,26,38,0,0
1527421267707,96,37 /,200,OK,Thread Group 1-29,text,true,,7949,416,26,26,66,0,1
1527421267510,299,37 /,200,OK,Thread Group 1-10,text,true,,7949,416,26,26,68,0,1
1527421267771,39,40 /confirmation.php,200,OK,Thread Group 1-20,text,true,,9004,714,26,26,39,0,0
1527421267773,39,40 /confirmation.php,200,OK,Thread Group 1-21,text,true,,9004,713,26,26,38,0,0
1527421267776,38,39 /purchase.php,200,OK,Thread Group 1-23,text,true,,9968,659,26,26,37,0,0
1527421267777,39,39 /purchase.php,200,OK,Thread Group 1-24,text,true,,9968,659,26,26,38,0,0
1527421267720,97,37 /,200,OK,Thread Group 1-30,text,true,,7949,416,27,27,68,0,1
1527421267780,41,Logowanie,200,OK,Thread Group 1-18,text,true,,10335,122,27,27,40,0,0
1527421267783,39,38 /reserve.php,200,OK,Thread Group 1-27,text,true,,10587,591,26,26,39,0,0
1527421267787,38,38 /reserve.php,200,OK,Thread Group 1-28,text,true,,10563,588,26,26,38,0,0
1527421267789,38,38 /reserve.php,200,OK,Thread Group 1-6,text,true,,10579,590,27,27,38,0,0
1527421267793,38,39 /purchase.php,200,OK,Thread Group 1-25,text,true,,9970,661,27,27,37,0,0
1527421267803,38,38 /reserve.php,200,OK,Thread Group 1-29,text,true,,10579,590,28,28,38,0,0
1527421267802,40,39 /purchase.php,200,OK,Thread Group 1-26,text,true,,9974,665,28,28,40,0,0
1527421267747,96,37 /,200,OK,Thread Group 1-32,text,true,,7949,416,28,28,67,0,1
1527421267810,37,38 /reserve.php,200,OK,Thread Group 1-10,text,true,,10587,591,28,28,36,0,0
1527421267811,38,Logowanie,200,OK,Thread Group 1-20,text,true,,10343,122,28,28,38,0,0
1527421267812,39,Logowanie,200,OK,Thread Group 1-21,text,true,,10335,122,28,28,39,0,0
1527421267814,40,40 /confirmation.php,200,OK,Thread Group 1-23,text,true,,9004,713,27,27,39,0,0
1527421267816,39,40 /confirmation.php,200,OK,Thread Group 1-24,text,true,,9004,714,27,27,39,0,0
1527421267818,37,38 /reserve.php,200,OK,Thread Group 1-30,text,true,,10603,593,27,27,37,0,0
1527421267823,39,39 /purchase.php,200,OK,Thread Group 1-27,text,true,,9966,657,27,27,38,0,0
1527421267826,38,39 /purchase.php,200,OK,Thread Group 1-28,text,true,,9968,659,27,27,37,0,0
1527421267828,38,39 /purchase.php,200,OK,Thread Group 1-6,text,true,,9968,659,28,28,38,0,0
1527421267831,38,40 /confirmation.php,200,OK,Thread Group 1-25,text,true,,9004,714,28,28,38,0,0
1527421267773,97,37 /,200,OK,Thread Group 1-34,text,true,,7949,416,28,28,68,0,1
1527421267639,240,39 /purchase.php,200,OK,Thread Group 1-2,text,true,,9966,657,29,29,40,0,0
1527421267841,39,39 /purchase.php,200,OK,Thread Group 1-29,text,true,,9968,659,29,29,39,0,0
1527421267842,38,40 /confirmation.php,200,OK,Thread Group 1-26,text,true,,9004,713,29,29,38,0,0
1527421267844,37,38 /reserve.php,200,OK,Thread Group 1-32,text,true,,10627,602,29,29,37,0,0
1527421267847,39,39 /purchase.php,200,OK,Thread Group 1-10,text,true,,9966,657,29,29,39,0,0
1527421267791,97,37 /,200,OK,Thread Group 1-33,text,true,,7949,416,29,29,68,0,1
1527421267855,39,39 /purchase.php,200,OK,Thread Group 1-30,text,true,,9970,661,30,30,39,0,0
1527421267854,40,Logowanie,200,OK,Thread Group 1-23,text,true,,10341,122,30,30,40,0,0
1527421267798,97,37 /,200,OK,Thread Group 1-36,text,true,,7949,416,29,29,68,0,1
1527421267862,38,40 /confirmation.php,200,OK,Thread Group 1-27,text,true,,9004,713,29,29,37,0,0
1527421267864,40,40 /confirmation.php,200,OK,Thread Group 1-28,text,true,,9004,713,29,29,40,0,0
1527421267867,38,40 /confirmation.php,200,OK,Thread Group 1-6,text,true,,9004,714,30,30,38,0,0
