timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1527418880288,100,37 /,200,OK,Thread Group 1-21,text,true,,7949,416,28,28,70,0,1
1527418880296,97,37 /,200,OK,Thread Group 1-22,text,true,,7949,416,29,29,69,0,2
1527418880355,39,39 /purchase.php,200,OK,Thread Group 1-16,text,true,,9974,665,29,29,38,0,0
1527418880362,39,40 /confirmation.php,200,OK,Thread Group 1-13,text,true,,9004,713,30,30,39,0,0
1527418880311,41,Logowanie,200,OK,Thread Group 1-7,text,true,,10335,122,30,30,40,0,0
1527418880367,38,39 /purchase.php,200,OK,Thread Group 1-17,text,true,,9966,657,30,30,38,0,0
1527418880367,39,40 /confirmation.php,200,OK,Thread Group 1-14,text,true,,9004,714,30,30,39,0,0
1527418880368,39,39 /purchase.php,200,OK,Thread Group 1-2,text,true,,9966,657,30,30,39,0,0
1527418880366,43,38 /reserve.php,200,OK,Thread Group 1-20,text,true,,10603,593,29,29,37,0,0
1527418880313,100,37 /,200,OK,Thread Group 1-23,text,true,,7949,416,29,29,72,0,2
1527418880371,44,38 /reserve.php,200,OK,Thread Group 1-6,text,true,,10628,602,30,30,44,0,0
1527418880376,42,Logowanie,200,OK,Thread Group 1-11,text,true,,10335,122,30,30,41,0,0
1527418880321,99,37 /,200,OK,Thread Group 1-24,text,true,,7949,416,29,29,68,0,0
1527418880384,39,39 /purchase.php,200,OK,Thread Group 1-18,text,true,,9968,659,29,29,38,0,0
1527418880386,38,40 /confirmation.php,200,OK,Thread Group 1-15,text,true,,9004,714,29,29,37,0,0
1527418880388,39,38 /reserve.php,200,OK,Thread Group 1-21,text,true,,10627,602,29,29,39,0,0
1527418880393,39,38 /reserve.php,200,OK,Thread Group 1-22,text,true,,10587,591,30,30,39,0,0
1527418880394,39,40 /confirmation.php,200,OK,Thread Group 1-16,text,true,,9004,713,30,30,39,0,0
1527418880190,248,40 /confirmation.php,200,OK,Thread Group 1-1,text,true,,9004,713,30,30,40,0,0
1527418880407,39,40 /confirmation.php,200,OK,Thread Group 1-2,text,true,,9004,713,31,31,38,0,0
1527418880350,97,37 /,200,OK,Thread Group 1-26,text,true,,7949,416,31,31,67,0,1
1527418880406,42,Logowanie,200,OK,Thread Group 1-14,text,true,,10339,122,31,31,40,0,0
1527418880415,40,39 /purchase.php,200,OK,Thread Group 1-6,text,true,,9974,665,31,31,40,0,0
1527418880414,44,38 /reserve.php,200,OK,Thread Group 1-23,text,true,,10564,588,31,31,43,0,0
1527418880420,42,38 /reserve.php,200,OK,Thread Group 1-24,text,true,,10579,590,31,31,41,0,0
1527418880364,100,37 /,200,OK,Thread Group 1-27,text,true,,7949,416,31,31,70,0,1
1527418880228,240,40 /confirmation.php,200,OK,Thread Group 1-4,text,true,,9004,714,31,31,38,0,0
1527418880432,39,39 /purchase.php,200,OK,Thread Group 1-22,text,true,,9966,657,31,31,39,0,0
1527418880438,41,Logowanie,200,OK,Thread Group 1-1,text,true,,10337,122,32,32,41,0,0
1527418880377,108,37 /,200,OK,Thread Group 1-28,text,true,,7950,416,32,32,79,0,1
1527418880390,96,37 /,200,OK,Thread Group 1-29,text,true,,7949,416,32,32,67,0,1
1527418880446,41,Logowanie,200,OK,Thread Group 1-2,text,true,,10333,122,32,32,40,0,0
1527418880259,239,38 /reserve.php,200,OK,Thread Group 1-12,text,true,,10587,591,31,31,38,0,0
1527418880401,99,37 /,200,OK,Thread Group 1-30,text,true,,7949,416,31,31,69,0,1
1527418880260,241,Logowanie,200,OK,Thread Group 1-3,text,true,,10340,122,31,31,47,0,0
1527418880464,38,38 /reserve.php,200,OK,Thread Group 1-27,text,true,,10587,591,32,32,38,0,0
1527418880462,41,39 /purchase.php,200,OK,Thread Group 1-24,text,true,,9968,659,32,32,39,0,0
1527418880468,39,Logowanie,200,OK,Thread Group 1-4,text,true,,10335,122,31,31,39,0,0
1527418880472,38,40 /confirmation.php,200,OK,Thread Group 1-22,text,true,,9004,713,31,31,38,0,0
1527418880416,99,37 /,200,OK,Thread Group 1-31,text,true,,7949,416,31,31,70,0,0
1527418880486,39,38 /reserve.php,200,OK,Thread Group 1-28,text,true,,10563,588,31,31,39,0,0
1527418880428,98,37 /,200,OK,Thread Group 1-32,text,true,,7949,416,31,31,68,0,2
1527418880499,38,39 /purchase.php,200,OK,Thread Group 1-12,text,true,,9966,657,33,33,38,0,0
1527418880500,37,38 /reserve.php,200,OK,Thread Group 1-30,text,true,,10603,593,33,33,37,0,0
1527418880297,241,Logowanie,200,OK,Thread Group 1-5,text,true,,10335,122,33,33,40,0,0
1527418880502,40,39 /purchase.php,200,OK,Thread Group 1-27,text,true,,9966,657,32,32,39,0,0
1527418880503,39,40 /confirmation.php,200,OK,Thread Group 1-24,text,true,,9004,714,32,32,38,0,0
1527418880446,98,37 /,200,OK,Thread Group 1-33,text,true,,7949,416,32,32,69,0,1
1527418880454,97,37 /,200,OK,Thread Group 1-34,text,true,,7949,416,32,32,68,0,0
1527418880510,43,Logowanie,200,OK,Thread Group 1-22,text,true,,10338,122,32,32,43,0,0
1527418880516,41,38 /reserve.php,200,OK,Thread Group 1-31,text,true,,10627,602,33,33,41,0,0
1527418880526,39,39 /purchase.php,200,OK,Thread Group 1-28,text,true,,9968,659,34,34,39,0,0
1527418880526,45,38 /reserve.php,200,OK,Thread Group 1-32,text,true,,10587,591,33,33,37,0,0
1527418880474,97,37 /,200,OK,Thread Group 1-35,text,true,,7949,416,33,33,67,0,1
1527418880339,242,Logowanie,200,OK,Thread Group 1-9,text,true,,10337,122,34,34,39,0,0
1527418880542,41,40 /confirmation.php,200,OK,Thread Group 1-27,text,true,,9004,713,33,33,41,0,0
1527418880331,252,Logowanie,200,OK,Thread Group 1-8,text,true,,10337,122,33,33,39,0,0
1527418880543,41,Logowanie,200,OK,Thread Group 1-24,text,true,,10335,122,33,33,41,0,0
1527418880329,255,40 /confirmation.php,200,OK,Thread Group 1-10,text,true,,9005,714,33,33,42,0,0
1527418880483,102,37 /,200,OK,Thread Group 1-36,text,true,,7949,416,33,33,73,0,1
1527418880538,48,39 /purchase.php,200,OK,Thread Group 1-30,text,true,,9971,661,33,33,48,0,0
1527418880545,45,38 /reserve.php,200,OK,Thread Group 1-33,text,true,,10563,588,32,32,37,0,0
1527418880360,239,38 /reserve.php,200,OK,Thread Group 1-19,text,true,,10579,590,32,32,39,0,0
1527418880502,99,37 /,200,OK,Thread Group 1-37,text,true,,7949,416,32,32,70,0,2
1527418880509,98,37 /,200,OK,Thread Group 1-38,text,true,,7949,416,33,33,69,0,1
1527418880569,39,38 /reserve.php,200,OK,Thread Group 1-34,text,true,,10579,590,33,33,39,0,0
1527418880567,42,39 /purchase.php,200,OK,Thread Group 1-31,text,true,,9974,665,33,33,42,0,0
1527418880570,40,40 /confirmation.php,200,OK,Thread Group 1-28,text,true,,8985,713,33,33,40,0,0
1527418880572,40,38 /reserve.php,200,OK,Thread Group 1-35,text,true,,10603,593,33,33,37,0,0
1527418880583,40,Logowanie,200,OK,Thread Group 1-27,text,true,,10345,122,34,34,40,0,0
1527418880585,42,Logowanie,200,OK,Thread Group 1-10,text,true,,10335,122,33,33,41,0,0
1527418880587,40,38 /reserve.php,200,OK,Thread Group 1-36,text,true,,10627,602,32,32,40,0,0
1527418880528,101,37 /,200,OK,Thread Group 1-39,text,true,,7949,416,32,32,70,0,2
1527418880590,41,39 /purchase.php,200,OK,Thread Group 1-33,text,true,,9968,659,33,33,41,0,0
1527418880535,97,37 /,200,OK,Thread Group 1-40,text,true,,7949,416,33,33,68,0,1
1527418880599,40,39 /purchase.php,200,OK,Thread Group 1-19,text,true,,9968,659,33,33,40,0,0
1527418880601,39,38 /reserve.php,200,OK,Thread Group 1-37,text,true,,10587,591,34,34,38,0,0
1527418880607,38,38 /reserve.php,200,OK,Thread Group 1-38,text,true,,10563,588,34,34,37,0,0
1527418880609,39,40 /confirmation.php,200,OK,Thread Group 1-31,text,true,,9004,713,34,34,39,0,0
1527418880409,241,39 /purchase.php,200,OK,Thread Group 1-20,text,true,,9970,661,34,34,40,0,0
1527418880401,249,Logowanie,200,OK,Thread Group 1-13,text,true,,10339,122,34,34,39,0,0
1527418880405,247,40 /confirmation.php,200,OK,Thread Group 1-17,text,true,,9004,713,33,33,39,0,0
1527418880612,42,39 /purchase.php,200,OK,Thread Group 1-35,text,true,,9970,661,33,33,42,0,0
1527418880342,316,37 /,200,OK,Thread Group 1-25,text,true,,7949,416,34,34,68,0,1
1527418880559,100,37 /,200,OK,Thread Group 1-41,text,true,,7949,416,34,34,73,0,2
1527418880565,96,37 /,200,OK,Thread Group 1-42,text,true,,7949,416,34,34,67,0,4
1527418880611,52,Logowanie,200,OK,Thread Group 1-28,text,true,,10338,122,34,34,51,0,0
1527418880628,41,39 /purchase.php,200,OK,Thread Group 1-36,text,true,,9974,665,34,34,41,0,0
1527418880629,41,38 /reserve.php,200,OK,Thread Group 1-39,text,true,,10579,590,34,34,40,0,0
1527418880423,251,40 /confirmation.php,200,OK,Thread Group 1-18,text,true,,9004,713,34,34,39,0,0
1527418880424,250,Logowanie,200,OK,Thread Group 1-15,text,true,,10337,122,34,34,39,0,0
1527418880427,248,39 /purchase.php,200,OK,Thread Group 1-21,text,true,,9974,665,34,34,38,0,0
1527418880580,98,37 /,200,OK,Thread Group 1-43,text,true,,7949,416,33,33,68,0,3
1527418880633,45,38 /reserve.php,200,OK,Thread Group 1-40,text,true,,10604,593,33,33,44,0,0
1527418880641,40,39 /purchase.php,200,OK,Thread Group 1-37,text,true,,9966,657,34,34,40,0,0
1527418880433,249,Logowanie,200,OK,Thread Group 1-16,text,true,,10333,122,34,34,39,0,0
1527418880649,38,Logowanie,200,OK,Thread Group 1-31,text,true,,10337,122,33,33,38,0,0
1527418880589,103,37 /,200,OK,Thread Group 1-44,text,true,,7949,416,32,32,74,0,1
1527418880654,38,40 /confirmation.php,200,OK,Thread Group 1-35,text,true,,9004,714,32,32,38,0,0
1527418880448,244,38 /reserve.php,200,OK,Thread Group 1-26,text,true,,10627,602,32,32,37,0,0
1527418880653,44,Logowanie,200,OK,Thread Group 1-17,text,true,,10337,122,33,33,42,0,0
1527418880659,39,38 /reserve.php,200,OK,Thread Group 1-41,text,true,,10627,602,32,32,38,0,0
1527418880659,39,38 /reserve.php,200,OK,Thread Group 1-25,text,true,,10603,593,32,32,38,0,0
1527418880650,49,40 /confirmation.php,200,OK,Thread Group 1-20,text,true,,9005,714,32,32,48,0,0
1527418880606,97,37 /,200,OK,Thread Group 1-45,text,true,,7949,416,32,32,67,0,0
1527418880661,45,38 /reserve.php,200,OK,Thread Group 1-42,text,true,,10588,591,32,32,44,0,0
1527418880455,255,40 /confirmation.php,200,OK,Thread Group 1-6,text,true,,9004,713,33,33,38,0,0
1527418880670,40,39 /purchase.php,200,OK,Thread Group 1-39,text,true,,9968,659,33,33,40,0,0
1527418880459,251,39 /purchase.php,200,OK,Thread Group 1-23,text,true,,9969,659,33,33,41,0,0
1527418880614,97,37 /,200,OK,Thread Group 1-46,text,true,,7949,416,33,33,68,0,1
1527418880678,37,38 /reserve.php,200,OK,Thread Group 1-43,text,true,,10563,588,33,33,37,0,0
1527418880676,40,40 /confirmation.php,200,OK,Thread Group 1-21,text,true,,9004,713,33,33,39,0,0
1527418880674,46,Logowanie,200,OK,Thread Group 1-18,text,true,,10336,122,34,34,45,0,0
1527418880678,42,39 /purchase.php,200,OK,Thread Group 1-40,text,true,,9970,661,34,34,41,0,0
1527418880681,44,40 /confirmation.php,200,OK,Thread Group 1-37,text,true,,9005,713,33,33,44,0,0
1527418880486,242,38 /reserve.php,200,OK,Thread Group 1-29,text,true,,10579,590,33,33,37,0,0
1527418880692,38,38 /reserve.php,200,OK,Thread Group 1-44,text,true,,10579,590,33,33,38,0,0
1527418880631,101,37 /,200,OK,Thread Group 1-47,text,true,,7949,416,33,33,71,0,2
1527418880693,40,39 /purchase.php,200,OK,Thread Group 1-26,text,true,,9974,665,33,33,40,0,0
1527418880703,39,38 /reserve.php,200,OK,Thread Group 1-45,text,true,,10603,593,34,34,38,0,0
1527418880640,103,37 /,200,OK,Thread Group 1-48,text,true,,7949,416,34,34,73,0,1
1527418880698,47,39 /purchase.php,200,OK,Thread Group 1-25,text,true,,9971,661,35,35,47,0,0
1527418880699,49,Logowanie,200,OK,Thread Group 1-20,text,true,,10338,122,35,35,49,0,0
1527418880706,44,39 /purchase.php,200,OK,Thread Group 1-42,text,true,,9966,657,34,34,44,0,0
1527418880710,41,Logowanie,200,OK,Thread Group 1-6,text,true,,10347,122,34,34,41,0,0
1527418880711,41,40 /confirmation.php,200,OK,Thread Group 1-23,text,true,,8985,713,33,33,41,0,0
1527418880711,42,38 /reserve.php,200,OK,Thread Group 1-46,text,true,,10627,602,33,33,42,0,0
1527418880715,39,39 /purchase.php,200,OK,Thread Group 1-43,text,true,,9968,659,33,33,39,0,0
1527418880655,100,37 /,200,OK,Thread Group 1-49,text,true,,7949,416,33,33,70,0,1
1527418880666,95,37 /,200,OK,Thread Group 1-50,text,true,,7949,416,34,34,66,0,0
1527418880716,45,Logowanie,200,OK,Thread Group 1-21,text,true,,10341,122,34,34,39,0,0
1527418880732,40,38 /reserve.php,200,OK,Thread Group 1-47,text,true,,10587,591,34,34,39,0,0
1527418880728,45,39 /purchase.php,200,OK,Thread Group 1-29,text,true,,9969,659,34,34,45,0,0
1527418880538,236,40 /confirmation.php,200,OK,Thread Group 1-12,text,true,,9004,713,34,34,40,0,0
1527418880733,44,40 /confirmation.php,200,OK,Thread Group 1-26,text,true,,9005,713,34,34,43,0,0
1527418880743,39,38 /reserve.php,200,OK,Thread Group 1-48,text,true,,10545,588,34,34,39,0,0
1527418880680,104,37 /,200,OK,Thread Group 1-51,text,true,,7950,416,34,34,75,0,1
1527418880742,43,39 /purchase.php,200,OK,Thread Group 1-45,text,true,,9971,661,35,35,43,0,0
1527418880752,39,Logowanie,200,OK,Thread Group 1-23,text,true,,10335,122,35,35,39,0,0
1527418880754,38,39 /purchase.php,200,OK,Thread Group 1-46,text,true,,9974,665,34,34,38,0,0
1527418880750,43,40 /confirmation.php,200,OK,Thread Group 1-42,text,true,,9004,713,34,34,43,0,0
1527418880694,99,37 /,200,OK,Thread Group 1-52,text,true,,7949,416,34,34,70,0,1
1527418880756,38,38 /reserve.php,200,OK,Thread Group 1-49,text,true,,10579,590,34,34,38,0,0
1527418880761,45,38 /reserve.php,200,OK,Thread Group 1-50,text,true,,10604,593,35,35,43,0,0
1527418880709,100,37 /,200,OK,Thread Group 1-53,text,true,,7949,416,35,35,71,0,0
1527418880772,38,39 /purchase.php,200,OK,Thread Group 1-47,text,true,,9966,657,35,35,38,0,0
1527418880773,39,40 /confirmation.php,200,OK,Thread Group 1-29,text,true,,9004,714,36,36,39,0,0
1527418880718,99,37 /,200,OK,Thread Group 1-54,text,true,,7949,416,36,36,70,0,1
1527418880571,249,39 /purchase.php,200,OK,Thread Group 1-32,text,true,,9966,657,36,36,39,0,0
1527418880784,38,38 /reserve.php,200,OK,Thread Group 1-51,text,true,,10627,602,37,37,38,0,0
1527418880783,40,39 /purchase.php,200,OK,Thread Group 1-48,text,true,,9968,659,37,37,40,0,0
1527418880777,47,Logowanie,200,OK,Thread Group 1-26,text,true,,10334,122,37,37,46,0,0
1527418880586,239,40 /confirmation.php,200,OK,Thread Group 1-30,text,true,,9004,714,36,36,43,0,0
1527418880792,38,40 /confirmation.php,200,OK,Thread Group 1-46,text,true,,9004,713,36,36,38,0,0
